batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
228,116736,0.997689,-4.8899,0.111008,-5.24554,-4.49054,-4.96696,-4.89617,-4.82305
229,117248,0.997678,-4.88967,0.116711,-5.32296,-4.26923,-4.96339,-4.88973,-4.81477
230,117760,0.997668,-4.89612,0.114641,-5.30887,-4.45685,-4.96512,-4.89813,-4.82189
231,118272,0.997658,-4.89925,0.114187,-5.25092,-4.53943,-4.97192,-4.89958,-4.83142
232,118784,0.997648,-4.8991,0.119876,-5.35287,-4.53984,-4.97717,-4.90182,-4.82506
233,119296,0.997638,-4.88619,0.120373,-5.38034,-4.42812,-4.96911,-4.89213,-4.81168
234,119808,0.997628,-4.88862,0.114178,-5.19902,-4.45372,-4.96093,-4.89757,-4.82303
235,120320,0.997618,-4.88423,0.121759,-5.27674,-4.42246,-4.96111,-4.88526,-4.81498
236,120832,0.997608,-4.89549,0.120686,-5.30957,-4.38542,-4.96905,-4.90282,-4.8213
237,121344,0.997597,-4.89452,0.109502,-5.22422,-4.50396,-4.96644,-4.89809,-4.82514
238,121856,0.997587,-4.88131,0.117597,-5.21799,-4.5317,-4.95839,-4.88612,-4.80484
239,122368,0.997577,-4.89604,0.108645,-5.15568,-4.47085,-4.97202,-4.90398,-4.83079
240,122880,0.997567,-4.89366,0.115776,-5.28919,-4.46929,-4.96586,-4.89184,-4.82354
241,123392,0.997557,-4.8891,0.116747,-5.2851,-4.47213,-4.96613,-4.89442,-4.81723
242,123904,0.997547,-4.88612,0.114881,-5.26695,-4.51413,-4.96191,-4.88458,-4.80892
243,124416,0.997537,-4.88063,0.111517,-5.2381,-4.4783,-4.95369,-4.88075,-4.80686
244,124928,0.997526,-4.87679,0.120543,-5.38042,-4.44808,-4.94878,-4.88348,-4.80662
245,125440,0.997516,-4.88207,0.122225,-5.22933,-4.49143,-4.96106,-4.8856,-4.80474
246,125952,0.997506,-4.89548,0.116122,-5.3022,-4.48445,-4.9679,-4.90144,-4.82889
247,126464,0.997496,-4.8893,0.11755,-5.24115,-4.46276,-4.96904,-4.89286,-4.81723
248,126976,0.997486,-4.88737,0.117115,-5.26336,-4.53826,-4.9582,-4.89302,-4.82203
249,127488,0.997476,-4.88195,0.113737,-5.23779,-4.52486,-4.95681,-4.88108,-4.8092
250,128000,0.997466,-4.88065,0.121015,-5.40586,-4.464,-4.95901,-4.88295,-4.81291
251,128512,0.997455,-4.8945,0.127423,-5.3095,-4.36691,-4.97711,-4.90587,-4.81386
252,129024,0.997445,-4.88695,0.112073,-5.33722,-4.52799,-4.96108,-4.89237,-4.81373
253,129536,0.997435,-4.88716,0.120863,-5.35348,-4.36483,-4.96411,-4.88947,-4.81669
254,130048,0.997425,-4.89612,0.112541,-5.20452,-4.47858,-4.97151,-4.90635,-4.82457
255,130560,0.997415,-4.89156,0.118283,-5.24847,-4.50681,-4.96732,-4.90417,-4.81828
256,131072,0.997405,-4.89384,0.118045,-5.29792,-4.29198,-4.96989,-4.89852,-4.81379
257,131584,0.997395,-4.8918,0.114428,-5.29731,-4.46881,-4.97233,-4.89909,-4.81208
258,132096,0.997384,-4.89361,0.127646,-5.29731,-4.49402,-4.9782,-4.89357,-4.81117
259,132608,0.997374,-4.8957,0.113196,-5.3022,-4.4618,-4.96719,-4.89579,-4.82804
260,133120,0.997364,-4.89079,0.122391,-5.26048,-4.28401,-4.97178,-4.89218,-4.81532
261,133632,0.997354,-4.89019,0.121306,-5.38529,-4.46915,-4.96143,-4.89848,-4.81204
262,134144,0.997344,-4.87987,0.12361,-5.3022,-4.39511,-4.9621,-4.88429,-4.8122
263,134656,0.997334,-4.89398,0.120975,-5.21429,-4.45913,-4.97165,-4.89238,-4.81346
264,135168,0.997324,-4.89797,0.120505,-5.29915,-4.36363,-4.97262,-4.90367,-4.8212
265,135680,0.997314,-4.89132,0.12066,-5.19805,-4.40944,-4.9751,-4.88881,-4.81776
266,136192,0.997303,-4.88352,0.109016,-5.23903,-4.51866,-4.95431,-4.89468,-4.81725
267,136704,0.997293,-4.88925,0.12219,-5.30952,-4.41532,-4.96696,-4.88649,-4.81338
268,137216,0.997283,-4.88618,0.113427,-5.22996,-4.49429,-4.95718,-4.88612,-4.81852
269,137728,0.997273,-4.88702,0.116577,-5.40055,-4.31077,-4.96182,-4.88726,-4.82517
270,138240,0.997263,-4.88421,0.113948,-5.30077,-4.4102,-4.95891,-4.89166,-4.81158
