batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
214,109568,0.997831,-4.89164,0.117238,-5.23626,-4.51424,-4.96933,-4.89366,-4.8127
215,110080,0.99782,-4.89368,0.119948,-5.21079,-4.50967,-4.97308,-4.90298,-4.82448
216,110592,0.99781,-4.88096,0.11825,-5.28167,-4.4962,-4.95885,-4.88433,-4.80884
217,111104,0.9978,-4.89594,0.117719,-5.23138,-4.40222,-4.96728,-4.90387,-4.81988
218,111616,0.99779,-4.89842,0.121748,-5.28022,-4.35781,-4.97385,-4.8982,-4.81691
219,112128,0.99778,-4.89151,0.118355,-5.2674,-4.48203,-4.97035,-4.89077,-4.81873
220,112640,0.99777,-4.89729,0.117387,-5.44802,-4.51747,-4.97112,-4.90159,-4.82666
221,113152,0.99776,-4.89736,0.116231,-5.35923,-4.50573,-4.97533,-4.89747,-4.83237
222,113664,0.997749,-4.88724,0.113732,-5.32306,-4.52387,-4.9556,-4.88998,-4.81642
223,114176,0.997739,-4.89285,0.11892,-5.47467,-4.42812,-4.96715,-4.89241,-4.8167
224,114688,0.997729,-4.89701,0.113454,-5.35269,-4.43711,-4.97391,-4.8933,-4.82358
225,115200,0.997719,-4.8965,0.123876,-5.26618,-4.37528,-4.9778,-4.90024,-4.81528
226,115712,0.997709,-4.88925,0.123945,-5.29426,-4.35308,-4.9674,-4.89804,-4.81944
227,116224,0.997699,-4.88328,0.119128,-5.39683,-4.53917,-4.95264,-4.89308,-4.80771
228,116736,0.997689,-4.88984,0.111118,-5.23896,-4.49054,-4.96779,-4.89617,-4.82589
229,117248,0.997678,-4.89043,0.116653,-5.32296,-4.26923,-4.9629,-4.89061,-4.817
230,117760,0.997668,-4.89672,0.115202,-5.30155,-4.45685,-4.96645,-4.89914,-4.82127
231,118272,0.997658,-4.89905,0.114567,-5.25092,-4.5413,-4.97593,-4.89905,-4.82989
232,118784,0.997648,-4.89982,0.119174,-5.35287,-4.53984,-4.97804,-4.90083,-4.82568
233,119296,0.997638,-4.88729,0.121811,-5.38034,-4.42812,-4.96944,-4.89411,-4.81353
234,119808,0.997628,-4.88846,0.115098,-5.19902,-4.45372,-4.96149,-4.89757,-4.8234
235,120320,0.997618,-4.88438,0.121017,-5.27674,-4.42246,-4.96035,-4.88584,-4.81932
236,120832,0.997608,-4.89465,0.120928,-5.31197,-4.38542,-4.97439,-4.90099,-4.81766
237,121344,0.997597,-4.89471,0.109861,-5.22422,-4.50396,-4.96644,-4.89938,-4.82259
238,121856,0.997587,-4.88124,0.118054,-5.21799,-4.5317,-4.96306,-4.88612,-4.80339
239,122368,0.997577,-4.89679,0.108845,-5.1787,-4.47085,-4.97222,-4.90272,-4.83184
240,122880,0.997567,-4.89435,0.115613,-5.28919,-4.42653,-4.9671,-4.89312,-4.82387
241,123392,0.997557,-4.8895,0.115689,-5.2851,-4.52869,-4.96516,-4.89442,-4.82017
242,123904,0.997547,-4.88719,0.11621,-5.26695,-4.51154,-4.96234,-4.88642,-4.81071
243,124416,0.997537,-4.88163,0.112081,-5.2381,-4.4783,-4.95511,-4.88212,-4.8065
244,124928,0.997526,-4.87635,0.120484,-5.38042,-4.44808,-4.94805,-4.8838,-4.80772
245,125440,0.997516,-4.88114,0.121922,-5.22933,-4.49143,-4.95897,-4.88486,-4.80469
246,125952,0.997506,-4.89618,0.116655,-5.3022,-4.48445,-4.9679,-4.90355,-4.82959
247,126464,0.997496,-4.88978,0.117767,-5.24115,-4.46276,-4.9687,-4.89208,-4.81748
248,126976,0.997486,-4.88923,0.117854,-5.26336,-4.53826,-4.96324,-4.89419,-4.82235
249,127488,0.997476,-4.8815,0.114986,-5.23779,-4.52486,-4.95708,-4.88112,-4.80541
250,128000,0.997466,-4.88103,0.121122,-5.40586,-4.464,-4.96035,-4.88414,-4.81239
251,128512,0.997455,-4.89572,0.126951,-5.3095,-4.36691,-4.97625,-4.90587,-4.81729
252,129024,0.997445,-4.88759,0.111805,-5.33722,-4.53467,-4.96203,-4.89237,-4.81482
253,129536,0.997435,-4.88795,0.121878,-5.35348,-4.36483,-4.964,-4.89132,-4.81705
254,130048,0.997425,-4.89659,0.112136,-5.20452,-4.4829,-4.97216,-4.90817,-4.82548
255,130560,0.997415,-4.89144,0.118088,-5.24603,-4.50681,-4.97187,-4.90061,-4.81573
256,131072,0.997405,-4.89291,0.118179,-5.29792,-4.29198,-4.96977,-4.89664,-4.81281
257,131584,0.997395,-4.89279,0.115581,-5.29731,-4.46881,-4.97262,-4.89856,-4.81486
258,132096,0.997384,-4.89377,0.127546,-5.29731,-4.49402,-4.97779,-4.89357,-4.81117
259,132608,0.997374,-4.89608,0.112252,-5.3022,-4.46333,-4.96684,-4.89624,-4.82804
260,133120,0.997364,-4.89044,0.123188,-5.26048,-4.28401,-4.97311,-4.89288,-4.81488
261,133632,0.997354,-4.88953,0.12149,-5.38529,-4.46915,-4.96262,-4.89749,-4.81319
262,134144,0.997344,-4.88008,0.12236,-5.27299,-4.39511,-4.96401,-4.88638,-4.81164
263,134656,0.997334,-4.89395,0.120849,-5.21429,-4.45913,-4.9735,-4.89215,-4.81358
264,135168,0.997324,-4.89881,0.120666,-5.29915,-4.36363,-4.9739,-4.90444,-4.82139
265,135680,0.997314,-4.89227,0.121839,-5.2212,-4.40971,-4.97778,-4.89399,-4.81562
266,136192,0.997303,-4.88419,0.109752,-5.23903,-4.51866,-4.95634,-4.89519,-4.81725
267,136704,0.997293,-4.88895,0.122852,-5.30952,-4.41532,-4.96617,-4.88711,-4.81338
268,137216,0.997283,-4.8877,0.113166,-5.22996,-4.49427,-4.95742,-4.88778,-4.81898
269,137728,0.997273,-4.88854,0.113809,-5.40055,-4.42804,-4.96182,-4.88823,-4.82794
270,138240,0.997263,-4.88448,0.117415,-5.3054,-4.4102,-4.96284,-4.89277,-4.80787
